//WarpsKonoha
//konoha,149,16,0	warp	gen001	1,1,prt_fild02,173,378

ein_dun01,21,13,0	warp	ge45n035	1,1,yuno_fild04,232,285
prt_fild03,196,281,0	warp	ge35n029	1,1,payon,121,31
prt_fild03,372,256,0	warp	ge36n029	1,1,prt_fild11,20,281
prt_fild11,17,281,0	warp	gen37029	1,1,prt_fild03,369,256

//Nukes_Takas_Gatos
pay_fild06,176,207,0	warp	ge38n029	1,1,gl_prison,13,70
gl_prison,10,70,0	warp	ge69n029	1,1,pay_fild06,179,207
gl_prison,148,183,0	warp	ge39n029	1,1,ayo_dun02,24,24
ayo_dun02,24,21,0	warp	ge40n029	1,1,gl_prison,148,180

mjolnir_07,17,77,0	warp	mes001	1,1,gef_fild00,379,140
gef_fild00,382,140,0	warp	mes002	1,1,mjolnir_07,20,77

ama_fild01,353,141,0	warp	mes003	1,1,ama_dun03,120,12 
ama_dun03,120,9,0	warp	mes004	1,1,ama_fild01,353,138

yuno_fild04,375,85,0	warp	mes005	1,1,yuno_fild10,41,184 
yuno_fild10,38,184,0	warp	mes006	1,1,yuno_fild04,373,84

yuno_fild09,363,327,0	warp	mes007	1,1,ein_fild09,72,351
ein_fild09,70,353,0	warp	mes008	1,1,yuno_fild09,360,327

moc_fild04,219,328,0	warp	mes009	1,1,cmd_fild07,268,329
cmd_fild07,271,329,0	warp	mes010	1,1,moc_fild04,216,328

pay_fild01,334,372,0	warp	mes011	1,1,gon_fild01,222,236
gon_fild01,222,239,0	warp	mes012	1,1,pay_fild01,334,369

um_fild03,362,216,0	warp	mes013	1,1,lou_fild01,136,282
lou_fild01,136,285,0	warp	mes014	1,1,um_fild03,359,213

mosk_dun01,101,265,0	warp	mes015	1,1,mosk_que,47,214
mosk_que,47,218,0	warp	mes016	1,1,mosk_dun01,101,262

prt_fild03,322,64,0	warp	mes017	1,1,lhz_fild03,66,140
lhz_fild03,65,142,0	warp	mes018	1,1,prt_fild03,325,64

gl_prison,126,10,0	warp	mes019	1,1,gl_church,16,296
gl_church,16,299,0	warp	mes020	1,1,gl_prison,126,13

//Bijuus
ra_fild13,295,347,0	warp	bijuu01	1,1,moc_fild22,32,198
yuno_fild07,202,176,0	warp	bijuu02	1,1,gef_dun00,106,168
gef_fild09,221,222,0	warp	bijuu03	1,1,iz_dun04,26,28
einbech,177,138,0	warp	bijuu04	1,1,gld_dun01,120,13
um_fild03,137,353,0	warp	bijuu05	1,1,mosk_dun03,27,131
gef_fild02,16,275,0	warp	bijuu06	1,1,mosk_dun02,266,118
hu_fild04,282,11,0	warp	bijuu07	1,1,ayo_fild01,33,238
glast_01,77,194,0	warp	bijuu08	1,1,ama_dun02,196,123
odin_tem02,152,350,0	warp	bijuu09	1,1,thor_v02,72,207


lou_in02,35,186,0	warp	nukes1	1,1,izlude_in,65,87
izlude_in,65,84,0	warp	nukes2	1,1,lou_in02,35,183
6@tower,164,113,0	warp	nukes3	1,1,izlude_in,65,87

6@tower,147,112,0	warp	nukes4	1,1,izlude_in,172,119
izlude_in,172,116,0	warp	nukes5	1,1,6@tower,150,112

prt_fild04,261,174,0	warp	brun01	1,1,prt_fild04,279,255
prt_fild04,277,253,0	warp	brun02	1,1,prt_fild04,261,172

//raid
treasure01,69,23,0	warp	raidh1	1,1,gef_fild04,114,84

//laboratorio
lhz_dun03,159,124,0	warp	lab001	1,1,lhz_dun02,150,145

konoha3,207,52,0	warp	pre002	1,1,konoha,197,273

sunagakure,200,69,0	warp	pre003	1,1,areia,116,267

nuvem,155,9,0	warp	pre004	1,1,veins,218,358

kiragakure,208,152,0	warp	pre005	1,1,kiri,67,371

//konoha3,88,230,0	warp	hosp01	1,1,hospital,138,4

//Academia nova
payon_in03,107,123,0	warp	acadn1	1,1,payon_in03,117,123
payon_in03,114,123,0	warp	acadn2	1,1,payon_in03,104,123
payon_in03,90,123,0	warp	acadn3	1,1,payon_in03,80,123
payon_in03,83,123,0	warp	acadn4	1,1,payon_in03,93,123
payon_in03,99,133,0	warp	acadn5	1,1,yuno_in03,64,187
//kiragakure,267,259,0	warp	acadn6	1,1,payon_in03,99,130
payon_in03,98,114,0	warp	acadn7	1,1,payon_in03,20,100
payon_in03,20,103,0	warp	acadn8	1,1,payon_in03,98,117
payon_in03,85,19,0	warp	acadn9	1,1,payon_in03,7,66
payon_in03,4,66,0	warp	acadn10	1,1,payon_in03,82,19
payon_in03,74,18,0	warp	acadn11	1,1,payon_in03,64,18
payon_in03,67,18,0	warp	acadn12	1,1,payon_in03,77,18
payon_in03,46,18,0	warp	acadn13	1,1,payon_in03,36,18
payon_in03,39,18,0	warp	acadn14	1,1,payon_in03,49,18
payon_in03,21,18,0	warp	acadn15	1,1,payon_in03,31,18
payon_in03,28,18,0	warp	acadn16	1,1,payon_in03,18,18
yuno_in03,67,187,0	warp	acadn17	1,1,payon_in03,99,130
yuno_in03,32,191,0	warp	acadn18	1,1,payon_in03,100,152
payon_in03,100,148,0	warp	acadn19	1,1,yuno_in03,32,189
pvp_n_1-1,100,182,0	warp	acadn20	1,1,payon_in03,76,153
payon_in03,72,153,0	warp	acadn21	1,1,pvp_n_1-1,100,179

//tirar esses warps
//payon_in03,100,148,0	warp	dkc045	1,1,payon_in03,99,130
