

//abyss_03,0,0,0,0	monster	Ichibi	1737,1,24000000,24000000,0
//iz_dun01,0,0,0,0	monster	Nibi	1984,1,24000000,24000000,0
//mag_dun01,0,0,0,0	monster	Sanbi	1986,1,24000000,24000000,0
//mag_dun02,0,0,0,0	monster	Yonbi	1981,1,24000000,24000000,0
//ra_san05,0,0,0,0	monster	Gobi	1982,1,24000000,24000000,0
//tur_dun01,0,0,0,0	monster	Rokubi	1985,1,24000000,24000000,0
//tur_dun02,0,0,0,0	monster	Shichibi	1983,1,24000000,24000000,0
//tur_dun03,0,0,0,0	monster	Hachibi	1738,1,24000000,24000000,0
//thor_v03,0,0,0,0	monster	Kyuubi	1086,1,24000000,24000000,0

yuno_fild11,0,0,0,0	monster	Planta Carnívora	1118,25,0,0,0
yuno_fild11,0,0,0,0	monster	Estrela-do-Mar	1266,20,0,0,0

tur_dun01,0,0,0,0	monster	Crustáceo	1066,20,0,0,0
tur_dun01,0,0,0,0	monster	Gorila	1499,20,0,0,0
tur_dun01,0,0,0,0	monster	Monstro Marinho	1039,35,0,0,0
tur_dun01,0,0,0,0	monster	General Tartaruga	1312,50,0,0,0
tur_dun01,0,0,0,0	monster	Líder Jounin	1391,1,1800000,1800000,0



//Esgoto

prt_sewb1,0,0,0,0	monster	Verme		1070,100,0,0,0
prt_sewb1,0,0,0,0	monster	Morcego		1005,55,0,0,0
prt_sewb1,0,0,0,0	monster	Mosquito	1042,50,0,0,0

prt_sewb3,0,0,0,0	monster	Ratasana		1209,55,0,0,0
prt_sewb3,0,0,0,0	monster	Barata Macho		1053,55,0,0,0
prt_sewb3,0,0,0,0	monster	Bacteria		1619,50,0,0,0
prt_sewb3,0,0,0,0	monster	Shinobi Ladrão		1201,35,0,0,0

gld_dun04,0,0,0,0	monster	Barata		1618,45,0,0,0
gld_dun04,0,0,0,0	monster	Shinobi Sanguinário	1769,35,0,0,0
gld_dun04,0,0,0,0	monster	Shinobi Assassino	1507,25,0,0,0
gld_dun04,0,0,0,0	monster	Bacteria		1619,20,0,0,0

gl_dun01,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,0,0,0
gl_dun01,0,0,0,0	monster	Shinobi Sanguinario	1769,45,0,0,0
gl_dun01,0,0,0,0	monster	Prisioneiro Assassino	1202,70,0,0,0
gl_dun01,0,0,0,0	monster	Prisioneiro Fugitivo	1257,45,0,0,0

gl_sew01,0,0,0,0	monster	Verme		1070,100,0,0,0
gl_sew01,0,0,0,0	monster	Morcego		1005,55,0,0,0
gl_sew01,0,0,0,0	monster	Mosquito	1042,50,0,0,0

gl_sew03,0,0,0,0	monster	Ratasana		1209,55,0,0,0
gl_sew03,0,0,0,0	monster	Barata Macho		1053,55,0,0,0
gl_sew03,0,0,0,0	monster	Bacteria		1619,50,0,0,0
gl_sew03,0,0,0,0	monster	Shinobi Ladrão		1201,35,0,0,0

gl_sew04,0,0,0,0	monster	Barata		1618,45,0,0,0
gl_sew04,0,0,0,0	monster	Shinobi Sanguinário	1769,35,0,0,0
gl_sew04,0,0,0,0	monster	Shinobi Assassino	1507,25,0,0,0
gl_sew04,0,0,0,0	monster	Bacteria		1619,20,0,0,0

tha_t06,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,0,0,0
tha_t06,0,0,0,0	monster	Shinobi Sanguinário	1769,45,0,0,0
tha_t06,0,0,0,0	monster	Prisioneiro Assassino	1202,70,0,0,0
tha_t06,0,0,0,0	monster	Prisioneiro Fugitivo	1257,45,0,0,0

prt_sewb2,0,0,0,0	monster	Verme	1070,100,0,0,0
prt_sewb2,0,0,0,0	monster	Morcego	1005,55,0,0,0
prt_sewb2,0,0,0,0	monster	Mosquito	1042,50,0,0,0

prt_sewb4,0,0,0,0	monster	Ratasana		1209,55,0,0,0
prt_sewb4,0,0,0,0	monster	Barata Macho		1053,55,0,0,0
prt_sewb4,0,0,0,0	monster	Bacteria		1619,50,0,0,0
prt_sewb4,0,0,0,0	monster	Shinobi Ladrão		1201,35,0,0,0

gl_sew02,0,0,0,0	monster	Barata		1618,45,0,0,0
gl_sew02,0,0,0,0	monster	Shinobi Sanguinário	1769,35,0,0,0
gl_sew02,0,0,0,0	monster	Shinobi Assassino	1507,25,0,0,0
gl_sew02,0,0,0,0	monster	Bacteria	1619,20,0,0,0

alde_dun02,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,0,0,0
alde_dun02,0,0,0,0	monster	Shinobi Sanguinário	1769,45,0,0,0
alde_dun02,0,0,0,0	monster	Prisioneiro Assassino	1202,70,0,0,0
alde_dun02,0,0,0,0	monster	Prisioneiro Fugitivo	1257,45,0,0,0

alde_dun01,0,0,0,0	monster	Verme	1070,100,0,0,0
alde_dun01,0,0,0,0	monster	Morcego	1005,55,0,0,0
alde_dun01,0,0,0,0	monster	Mosquito	1042,50,0,0,0

alde_dun04,0,0,0,0	monster	Ratasana		1209,55,0,0,0
alde_dun04,0,0,0,0	monster	Barata Macho		1053,55,0,0,0
alde_dun04,0,0,0,0	monster	Bacteria		1619,50,0,0,0
alde_dun04,0,0,0,0	monster	Shinobi Ladrão		1201,35,0,0,0

beach_dun3,0,0,0,0	monster	Barata		1618,45,0,0,0
beach_dun3,0,0,0,0	monster	Shinobi Sanguinário	1769,35,0,0,0
beach_dun3,0,0,0,0	monster	Shinobi Assassino	1507,25,0,0,0
beach_dun3,0,0,0,0	monster	Bacteria	1619,20,0,0,0

gl_dun02,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,0,0,0
gl_dun02,0,0,0,0	monster	Shinobi Sanguinário	1769,45,0,0,0
gl_dun02,0,0,0,0	monster	Prisioneiro Assassino	1202,70,0,0,0
gl_dun02,0,0,0,0	monster	Prisioneiro Fugitivo	1257,45,0,0,0

gl_prison,0,0,0,0	monster	Nukenin Procurado 	1839,55,0,0,0
gl_prison,0,0,0,0	monster	Nukenin Assassino 	1401,55,0,0,0
gl_prison,0,0,0,0	monster	Nukenin Ladrão 	1154,55,0,0,0
gl_prison,0,0,0,0	monster	Nukenin	1771,55,0,0,0

ayo_dun01,0,0,0,0	monster	Taka	1987,50,0,0,0


//EntradaSecretaMinas

iz_dun00,0,0,0,0	monster	Pirata	1592,75,0,0,0



//Kakashi

kakashi,0,0,0,0	monster	Girino			1034,40,0,0
kakashi,0,0,0,0	monster	Filhote de cobra	1037,40,0,0
kakashi,0,0,0,0	monster	Bikouchuu		1051,40,0,0
kakashi,0,0,0,0	monster	Filhote de Katsuyu	1783,40,0,0,0
kakashi,0,0,0,0	monster	Akino	1212,40,0,0,0
kakashi,0,0,0,0	monster	Onbba	1214,40,0,0,0

//quest_entrada

abyss_02,0,0,0,0	monster	Planta de Konoha		1079,5,600000,600000,0
abyss_02,0,0,0,0	monster	Planta da Névoa		1083,5,600000,600000,0
abyss_02,0,0,0,0	monster	Planta da Suna		1078,5,600000,600000,0
abyss_02,0,0,0,0	monster	Planta da Núvem		1081,5,600000,600000,0
abyss_02,0,0,0,0	monster	Sakon		1973,1,600000,600000,0

//boss
Orochimaru,0,0,0,0	monster	Orochimaru		1398,1,32400000,32400000,0
valedofim,0,0,0,0	monster	Suigetsu		1990,1,32400000,32400000,0

//evento1

ayo_fild01,0,0,0,0	monster	Monstro Katon C			1654,5,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Suiton C		1084,5,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Doton C			1248,5,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Fuuton C		1267,5,0,0,0 
ayo_fild01,0,0,0,0	monster	Monstro Katon E			1095,20,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Suiton E		1097,20,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Doton E			1247,20,0,0,0
ayo_fild01,0,0,0,0	monster	Monstro Fuuton E		1668,20,0,0,0

//evento2

beach_dun,0,0,0,0	monster	Monstro Katon E			1095,15,0,0,0
beach_dun,0,0,0,0	monster	Monstro Suiton E		1097,15,0,0,0
beach_dun,0,0,0,0	monster	Monstro Doton E			1247,15,0,0,0
beach_dun,0,0,0,0	monster	Monstro Fuuton E		1668,15,0,0,0
beach_dun,0,0,0,0	monster	Monstro Fuuton A		1265,1,0,0,0
beach_dun,0,0,0,0	monster	Monstro Doton A			1260,1,0,0,0

beach_dun2,0,0,0,0	monster	Monstro Katon C			1654,15,0,0,0
beach_dun2,0,0,0,0	monster	Monstro Suiton C		1084,15,0,0,0
beach_dun2,0,0,0,0	monster	Monstro Doton C			1248,15,0,0,0
beach_dun2,0,0,0,0	monster	Monstro Fuuton C		1267,15,0,0,0
beach_dun2,0,0,0,0	monster	Monstro Suiton A		1016,1,0,0,0
beach_dun2,0,0,0,0	monster	Monstro Katon A			1102,1,0,0,0

//evento3

prt_maze03,97,146,0,0	monster	Espírito Mokuton		2019,1,600000,600000,0
prt_maze03,140,63,0,0	monster	Espírito Raiton			1065,1,600000,600000,0
prt_maze03,0,0,0,0	monster	Monstro Suiton A		1016,1,0,0,0
prt_maze03,0,0,0,0	monster	Monstro Katon A			1102,1,0,0,0
prt_maze03,0,0,0,0	monster	Monstro Fuuton A		1265,1,0,0,0
prt_maze03,0,0,0,0	monster	Monstro Doton A			1260,1,0,0,0

//Bonecos_de_Treino

yuno_in01,173,23,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,173,29,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,164,23,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,164,29,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,36,30,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,36,24,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,36,18,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,28,37,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,165,98,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,165,93,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,170,93,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,170,98,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,88,36,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,97,20,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,104,20,0,0	monster	Boneco de Treino	1836,1,10,10,0
yuno_in01,111,20,0,0	monster	Boneco de Treino	1836,1,10,10,0

//dun_01

gld_dun02,0,0,0,0	monster	Anbu	1635,100,10,10,0
gld_dun02,0,0,0,0	monster	Jounin	1634,100,10,10,0
gld_dun02,0,0,0,0	monster	Chunin	1636,200,10,10,0
gef_fild07,0,0,0,0	monster	Líder Anbu	1992,20,10,10,0

alde_dun03,0,0,0,0	monster	Bandido	1372,100,10,10,0
alde_dun03,0,0,0,0	monster	Nukenin	1771,100,10,10,0
alde_dun03,0,0,0,0	monster	Nukenin Procurado 	1839,100,10,100,0
alde_dun03,0,0,0,0	monster	Nukenin Assassino 	1401,100,10,100,0
alde_dun03,0,0,0,0	monster	Nukenin Ladrão 	1154,50,100,100,0


//dungeons up
hu_fild02,0,0,0,0	monster	Genin	1656,40,0,0,0
hu_fild02,0,0,0,0	monster	Kyodaija	1025,30,0,0,0
hu_fild02,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
hu_fild02,0,0,0,0	monster	Namekuji	1031,30,0,0,0
hu_fild02,0,0,0,0	monster	Pakkun	1296,30,0,0,0
hu_fild02,0,0,0,0	monster	Saru	1628,30,0,0,0

ve_fild04,0,0,0,0	monster	Chunin	1636,40,0,0,0
ve_fild04,0,0,0,0	monster	Akamaru	1106,30,0,0,0
ve_fild04,0,0,0,0	monster	Nidachou	1036,30,0,0,0
ve_fild04,0,0,0,0	monster	Usagiburaun	1322,30,0,0,0
ve_fild04,0,0,0,0	monster	Togashiro	1027,30,0,0,0

lhz_fild03,0,0,0,0	monster	Condor	1009,35,0,0,0
lhz_fild03,0,0,0,0	monster	Coelho	1093,35,0,0,0
lhz_fild03,0,0,0,0	monster	Manmosukas	1040,35,0,0,0
lhz_fild03,0,0,0,0	monster	Sanjuu Kyodaireo	1517,35,0,0,0
lhz_fild03,0,0,0,0	monster	Chamu	1405,35,0,0,0

ra_fild01,0,0,0,0	monster	Abelha	1114,30,0,0,0
ra_fild01,0,0,0,0	monster	Guardião Arqueiro	1830,30,0,0,0
ra_fild01,0,0,0,0	monster	Espadachim	1163,30,0,0,0
ra_fild01,0,0,0,0	monster	Inseto Assassino	1294,30,0,0,0
ra_fild01,0,0,0,0	monster	Louva-a-Deus	1139,30,0,0,0
ra_fild01,0,0,0,0	monster	Grande Esquilo	1041,30,0,0,0
ra_fild01,0,0,0,0	monster	Planta Carnívora	1118,30,0,0,0
